"","abrev","Yindex","Year","FelOth","CivAdd","Total","DesCap","PercCap","StaffCap","name"
"143","WSP",455,1998,5395,35,5430,2984,182,5812,NA
"144","MALE",482,1998,139412,1540,140952,73647,191.4,140464,NA
"145","CIW",528,1998,1832,20,1852,1026,180.5,1747,NA
"146","CRC",537,1998,363,526,889,500,177.8,842,NA
"147","CCWF",546,1998,3699,3,3702,2004,184.7,3526,NA
"148","NCWF",555,1998,771,6,777,400,194.3,760,NA
"149","SCC",564,1998,338,0,338,320,105.6,320,NA
"150","VSP",573,1998,3466,12,3478,1980,175.7,3330,NA
"151","FEMALE",600,1998,10469,567,11036,6230,177.1,10525,NA
"152","INSTITUTIONS/CAMPS",636,1998,149881,2107,151988,79877,190.3,150989,NA
"153","ASP",120,1999,6087,0,6087,2320,262.4,5793,NA
"154","CCC",129,1999,5957,0,5957,3682,161.8,5657,NA
"155","CCI",138,1999,5823,0,5823,2781,209.4,5992,NA
"156","CIM",147,1999,6183,36,6219,3078,202,6318,NA
"157","CMF",165,1999,3094,0,3094,2315,133.7,3401,NA
"158","CMC",174,1999,6941,0,6941,3884,178.7,6724,NA
"159","CRC",183,1999,2957,1108,4065,1814,224.1,4001,NA
"160","CAL",192,1999,4121,0,4121,2208,186.6,4108,NA
"161","CEN",210,1999,4574,0,4574,2208,207.2,4588,NA
"162","COR",219,1999,5002,0,5002,3016,165.8,5063,NA
"163","LAC",228,1999,4172,0,4172,2200,189.6,4220,NA
"164","SAC",237,1999,3010,0,3010,1728,174.2,3254,NA
"165","SQ",255,1999,5851,25,5876,3279,179.2,5634,NA
"166","SOL",264,1999,5871,1,5872,2610,225,5777,NA
"167","CVSP",282,1999,3660,0,3660,1738,210.6,3679,NA
"168","CTF",300,1999,7236,0,7236,3281,220.5,7161,NA
"169","DVI",310,1999,3710,31,3741,1787,209.3,3706,NA
"170","FOL",319,1999,3810,0,3810,2072,183.9,3725,NA
"171","HDP",328,1999,4254,3,4257,2224,191.4,4166,NA
"172","IRON",346,1999,4539,0,4539,2200,206.3,4460,NA
"173","MCSP",355,1999,3547,0,3547,1700,208.6,3562,NA
"174","NKSP",364,1999,5001,1,5002,2692,185.8,5104,NA
"175","PDC",373,1999,1136,0,1136,0,0,1100,NA
"176","PBSP",391,1999,3391,0,3391,2280,148.7,3550,NA
"177","PVSP",400,1999,4681,0,4681,2208,212,4588,NA
"178","RJD",409,1999,4725,0,4725,2200,214.8,4698,NA
"179","SVSP",419,1999,4233,0,4233,2224,190.3,4266,NA
"180","SRTA",437,1999,732,0,732,0,0,750,NA
"181","SCC",446,1999,5955,0,5955,3606,165.1,5884,NA
"182","WSP",455,1999,5476,21,5497,2984,184.2,5580,NA
"183","MALE",482,1999,142112,1227,143339,73643,194.6,142614,NA
"184","CIW",528,1999,1854,17,1871,1026,182.4,1747,NA
"185","CRC",537,1999,349,441,790,500,158,842,NA
"186","CCWF",546,1999,3563,1,3564,2004,177.8,3753,NA
"187","NCWF",555,1999,749,2,751,400,187.8,760,NA
"188","SCC",564,1999,340,0,340,320,106.3,320,NA
"189","VSP",573,1999,3615,14,3629,1980,183.3,3664,NA
"190","FEMALE",600,1999,10470,475,10945,6230,175.7,11086,NA
"191","INSTITUTIONS/CAMPS",636,1999,152582,1702,154284,79873,193.2,153700,NA
"192","ASP",119,2000,6603,0,6603,2820,234.1,6678,NA
"193","CCC",128,2000,5913,0,5913,3682,160.6,5642,NA
"194","CCI",137,2000,5262,0,5262,2781,189.2,5497,NA
"195","CIM",146,2000,6285,49,6334,3078,205.8,6303,NA
"196","CMF",164,2000,2961,0,2961,2315,127.9,3401,NA
"197","CMC",173,2000,6694,0,6694,3884,172.3,6724,NA
"198","CRC",182,2000,2632,1357,3989,1814,219.9,3952,NA
"199","CAL",191,2000,4097,0,4097,2208,185.6,4068,NA
"200","CEN",210,2000,4516,0,4516,2208,204.5,4573,NA
"201","COR",219,2000,4805,0,4805,3016,159.3,4903,NA
"202","LAC",228,2000,4184,0,4184,2200,190.2,4140,NA
"203","SAC",237,2000,2966,0,2966,1728,171.6,3144,NA
"204","SQ",255,2000,5830,18,5848,3273,178.7,5533,NA
"205","SOL",264,2000,5790,0,5790,2610,221.8,5762,NA
"206","CVSP",282,2000,3621,0,3621,1738,208.3,3664,NA
"207","CTF",300,2000,7213,0,7213,3281,219.8,7161,NA
"208","DVI",309,2000,3818,29,3847,1787,215.3,3909,NA
"209","FOL",318,2000,3822,0,3822,2072,184.5,3725,NA
"210","HDP",327,2000,4338,5,4343,2224,195.3,4310,NA
"211","IRON",346,2000,4587,0,4587,2200,208.5,4565,NA
"212","MCSP",355,2000,3540,0,3540,1700,208.2,3537,NA
"213","NKSP",364,2000,4934,6,4940,2692,183.5,5089,NA
"214","PDC",373,2000,1408,0,1408,0,0,1100,NA
"215","PBSP",391,2000,3290,1,3291,2280,144.3,3376,NA
"216","PVSP",400,2000,4647,0,4647,2208,210.5,4573,NA
"217","RJD",409,2000,4694,0,4694,2200,213.4,4673,NA
"218","SVSP",418,2000,4206,0,4206,2224,189.1,4156,NA
"219","SRTA",436,2000,753,0,753,0,0,750,NA
"220","SCC",445,2000,6059,0,6059,3606,168,5869,NA
"221","WSP",454,2000,5881,31,5912,2984,198.1,5797,NA
"222","MALE",481,2000,141657,1505,143162,74137,193.1,143024,NA
"223","CIW",527,2000,1851,30,1881,1026,183.3,1742,NA
"224","CRC",536,2000,301,500,801,500,160.2,842,NA
"225","CCWF",545,2000,3434,6,3440,2004,171.7,3463,NA
"226","NCWF",554,2000,756,2,758,400,189.5,755,NA
