"","abrev","Yindex","Year","FelOth","CivAdd","Total","DesCap","PercCap","StaffCap","name"
"840","SATF",386,2016,5324,1,5325,3424,155.5,5495,NA
"841","SCC",395,2016,4277,0,4277,3936,108.7,4774,NA
"842","SOL",403,2016,3888,0,3888,2610,149,3866,NA
"843","SQ",420,2016,4106,0,4106,3082,133.2,3956,NA
"844","SVSP",429,2016,3759,0,3759,2452,153.3,3657,NA
"845","VSP",437,2016,3405,0,3405,1980,172,3358,NA
"846","WSP",446,2016,4853,0,4853,2984,162.6,4997,NA
"847","MALE",471,2016,111884,1,111885,85166,131.4,123070,NA
"848","CCWF",514,2016,2795,0,2795,2004,139.5,3513,NA
"849","CIW",522,2016,1874,0,1874,1398,134,2038,NA
"850","FOL",531,2016,475,0,475,403,117.9,483,NA
"851","FEMALE",548,2016,5144,0,5144,3805,135.2,6034,NA
"852","INSTITUTIONS/CAMPS",591,2016,117028,1,117029,88971,131.5,129104,NA
"853","ASP",122,2017,3706,0,3706,2920,126.9,4370,NA
"854","CAL",131,2017,3759,0,3759,2308,162.9,3333,NA
"855","CCC",139,2017,4081,0,4081,3883,105.1,4667,NA
"856","CCI",148,2017,3798,0,3798,2783,136.5,4120,NA
"857","CEN",165,2017,3423,0,3423,2308,148.3,3333,NA
"858","CHCF",173,2017,0,2401,2401,2951,81.4,2951,NA
"859","CIM",182,2017,3687,0,3687,2976,123.9,4186,NA
"860","CMC",190,2017,4081,0,4081,3838,106.3,4401,NA
"861","CMF",207,2017,2517,0,2517,2361,106.6,2789,NA
"862","COR",216,2017,3208,0,3208,3116,103,4264,NA
"863","CRC",224,2017,2654,0,2654,2491,106.5,3210,NA
"864","CTF",233,2017,5086,0,5086,3312,153.6,4887,NA
"865","CVSP",250,2017,2812,0,2812,1738,161.8,2478,NA
"866","DVI",258,2017,2487,0,2487,1681,147.9,2353,NA
"867","FOL",267,2017,2613,0,2613,2066,126.5,2895,NA
"868","HDSP",275,2017,3579,0,3579,2324,154,3361,NA
"869","ISP",292,2017,3138,0,3138,2200,142.6,3200,NA
"870","KVSP",301,2017,3626,0,3626,2448,148.1,3458,NA
"871","LAC",309,2017,3366,0,3366,2300,146.3,3300,NA
"872","MCSP",318,2017,3628,0,3628,3284,110.5,4001,NA
"873","NKSP",335,2017,4614,0,4614,2694,171.3,3911,NA
"874","PBSP",344,2017,2068,0,2068,2380,86.9,3250,NA
"875","PVSP",352,2017,2987,0,2987,2308,129.4,3333,NA
"876","RJD",361,2017,3813,0,3813,2992,127.4,3942,NA
"877","SAC",378,2017,2302,0,2302,1828,125.9,2457,NA
"878","SATF",386,2017,5708,0,5708,3424,166.7,5111,NA
"879","SCC",395,2017,4181,0,4181,3936,106.2,4660,NA
"880","SOL",403,2017,3818,0,3818,2610,146.3,3882,NA
"881","SQ",420,2017,4102,0,4102,3082,133.1,4038,NA
"882","SVSP",429,2017,3535,0,3535,2452,144.2,3409,NA
"883","VSP",437,2017,3496,0,3496,1980,176.6,2954,NA
"884","WSP",446,2017,5283,0,5283,2984,177,4351,NA
"885","MALE",471,2017,113557,0,113557,85958,132.1,116855,NA
"886","CCWF",514,2017,2963,0,2963,2004,147.9,2966,NA
"887","CIW",522,2017,1883,0,1883,1398,134.7,1858,NA
"888","FOL",531,2017,430,0,430,403,106.7,530,NA
"889","FEMALE",548,2017,5276,0,5276,3805,138.7,5354,NA
"890","INSTITUTIONS/CAMPS",591,2017,118833,0,118833,89763,132.4,122209,NA
"891","ASP",122,2018,4326,0,4326,2920,148.2,4370,NA
"892","CAL",131,2018,3566,0,3566,2308,154.5,3333,NA
"893","CCC",139,2018,4727,0,4727,3883,121.7,4667,NA
"894","CCI",148,2018,3339,0,3339,2783,120,4120,NA
"895","CEN",165,2018,3346,0,3346,2308,145,3333,NA
"896","CHCF",173,2018,0,2719,2719,2951,92.1,2951,NA
"897","CIM",182,2018,3730,0,3730,2976,125.3,4186,NA
"898","CMC",190,2018,3894,0,3894,3838,101.5,4379,NA
"899","CMF",207,2018,2400,0,2400,2361,101.7,2789,NA
"900","COR",216,2018,3232,0,3232,3116,103.7,4270,NA
"901","CRC",224,2018,2469,0,2469,2491,99.1,3210,NA
"902","CTF",233,2018,5335,0,5335,3312,161.1,4887,NA
"903","CVSP",250,2018,2904,0,2904,1738,167.1,2478,NA
"904","DVI",258,2018,2037,0,2037,1681,121.2,2353,NA
"905","FOL",267,2018,2371,0,2371,2066,114.8,2895,NA
"906","HDSP",275,2018,3464,0,3464,2324,149.1,3361,NA
"907","ISP",292,2018,3065,0,3065,2200,139.3,3200,NA
"908","KVSP",301,2018,3555,0,3555,2448,145.2,3522,NA
"909","LAC",309,2018,3172,0,3172,2300,137.9,3300,NA
"910","MCSP",318,2018,4208,0,4208,3284,128.1,4009,NA
"911","NKSP",335,2018,4378,0,4378,2694,162.5,3911,NA
"912","PBSP",344,2018,2624,0,2624,2380,110.3,3250,NA
"913","PVSP",352,2018,3028,0,3028,2308,131.2,3333,NA
"914","RJD",361,2018,3895,0,3895,2992,130.2,3942,NA
"915","SAC",378,2018,2156,0,2156,1828,117.9,2449,NA
"916","SATF",386,2018,5853,0,5853,3424,170.9,5111,NA
"917","SCC",395,2018,4253,0,4253,3936,108.1,4660,NA
"918","SOL",403,2018,4044,0,4044,2610,154.9,3882,NA
"919","SQ",420,2018,4408,0,4408,3082,143,3988,NA
"920","SVSP",429,2018,3166,0,3166,2452,129.1,3409,NA
"921","VSP",437,2018,3459,0,3459,1980,174.7,2954,NA
"922","WSP",446,2018,4994,0,4994,2984,167.4,4351,NA
"923","MALE",471,2018,114117,0,114117,85958,132.8,116853,NA
"924","CCWF",514,2018,2886,0,2886,2004,144,2966,NA
"925","CIW",522,2018,1840,0,1840,1398,131.6,1856,NA
"926","FOL",531,2018,448,0,448,403,111.2,530,NA
"927","FEMALE",548,2018,5174,0,5174,3805,136,5352,NA
"928","INSTITUTIONS/CAMPS",591,2018,119291,0,119291,89763,132.9,122205,NA
"929","ASP",184,2019,3751,NA,NA,2920,128.5,4370,"Avenal State Prison"
"930","CAL",193,2019,3474,NA,NA,2308,150.5,3333,"Calipatria State Prison"
"931","CCC",202,2019,3964,NA,NA,3883,102.1,4762,"California Correctional Center"
"932","CCI",211,2019,3678,NA,NA,2783,132.2,4120,"California Correctional Institution"
"933","CEN",227,2019,3495,NA,NA,2308,151.4,3333,"Centinela State Prison"
"934","CHCF",236,2019,2784,NA,NA,2951,94.3,2951,"California Health Care Facility Stockton"
"935","CIM",245,2019,3644,NA,NA,2976,122.4,4186,"California Institution for Men"
"936","CMC",254,2019,3682,NA,NA,3838,95.9,4398,"California Colony"
"937","CMF",271,2019,2556,NA,NA,2361,108.3,2847,"California Medical Facility"
"938","COR",279,2019,3161,NA,NA,3116,101.4,4233,"California State Corcoran"
"939","CRC",288,2019,2958,NA,NA,2491,118.7,3210,"California Rehabilitation Center"
"940","CTF",297,2019,5414,NA,NA,3312,163.5,4887,"Correctional Training Facility"
"941","CVSP",314,2019,2709,NA,NA,1738,155.9,2478,"Chuckawalla Valley State Prison"
"942","DVI",322,2019,2169,NA,NA,1681,129,2353,"Deuel Vocational Institution"
"943","FOL",332,2019,2994,NA,NA,2066,144.9,2895,"Folsom State Prison"
"944","HDSP",341,2019,3130,NA,NA,2324,134.7,3361,"High Desert State Prison"
"945","ISP",357,2019,2681,NA,NA,2200,121.9,3200,"Ironwood State Prison"
"946","KVSP",366,2019,3568,NA,NA,2448,145.8,3522,"Kern Valley State Prison"
"947","LAC",375,2019,3175,NA,NA,2300,138,3300,"California State Los Angeles County"
"948","MCSP",384,2019,3970,NA,NA,3284,120.9,4009,"Mule Creek State Prison"
"949","NKSP",400,2019,4195,NA,NA,2694,155.7,3911,"North Kern State Prison"
"950","PBSP",409,2019,2625,NA,NA,2380,110.3,3250,"Pelican Bay State Prison"
"951","PVSP",418,2019,3332,NA,NA,2308,144.4,3333,"Pleasant Valley State Prison"
"952","RJD",427,2019,4099,NA,NA,2992,137,3942,"RJ Donovan Correctional Facility"
"953","SAC",443,2019,2126,NA,NA,1828,116.3,2449,"California State Sacramento"
"954","SATF",452,2019,5516,NA,NA,3424,161.1,5111,"California Substance Abuse Treatment Facility"
"955","SCC",461,2019,4066,NA,NA,3936,103.3,4570,"Sierra Conservation Center"
"956","SOL",470,2019,4575,NA,NA,2610,175.3,3882,"California State Solano"
"957","SQ",487,2019,4329,NA,NA,3082,140.5,3984,"San Quentin State Prison"
"958","SVSP",495,2019,3143,NA,NA,2452,128.2,3409,"Salinas Valley State Prison"
"959","VSP",504,2019,2845,NA,NA,1980,143.7,2954,"Valley State Prison"
"960","WSP",513,2019,4906,NA,NA,2984,164.4,4351,"Wasco State Prison"
"961","MALE",530,2019,112714,NA,NA,85958,131.1,116894,"Male Total"
"962","CCWF",572,2019,2826,NA,NA,2004,141,2964,"Central California Facility"
"963","CIW",581,2019,1752,NA,NA,1398,125.3,1877,"California Institution for Women"
"964","FOL",590,2019,454,NA,NA,403,112.7,530,"Folsom State Prison"
"965","SQ",599,2019,1,NA,NA,3082,0,3273,"San Quentin State Prison"
"966","FEMALE",615,2019,5033,NA,NA,3805,132.3,8644,"Female Total"
"967","INSTITUTIONS",647,2019,117747,NA,NA,89763,131.2,125538,"Institution"
"968","ASP",184,2020,3824,NA,NA,2920,131,4719,"Avenal State Prison"
"969","CAL",193,2020,2955,NA,NA,2308,128,3451,"Calipatria State Prison"
"970","CCC",202,2020,3275,NA,NA,3883,84.3,4752,"California Correctional Center"
"971","CCI",211,2020,3445,NA,NA,2783,123.8,4115,"California Correctional Institution"
"972","CEN",227,2020,3237,NA,NA,2308,140.3,3446,"Centinela State Prison"
"973","CHCF",236,2020,2575,NA,NA,2951,87.3,3111,"California Health Care Facility Stockton"
"974","CIM",245,2020,2557,NA,NA,2976,85.9,4450,"California Institution for Men"
"975","CMC",254,2020,3486,NA,NA,3838,90.8,4407,"California Colony"
"976","CMF",271,2020,2207,NA,NA,2361,93.5,2981,"California Medical Facility"
"977","COR",279,2020,3453,NA,NA,3116,110.8,4476,"California State Corcoran"
"978","CRC",288,2020,2837,NA,NA,2491,113.9,3262,"California Rehabilitation Center"
"979","CTF",297,2020,4630,NA,NA,3312,139.8,4941,"Correctional Training Facility"
"980","CVSP",314,2020,2116,NA,NA,1738,121.7,2578,"Chuckawalla Valley State Prison"
"981","DVI",322,2020,1517,NA,NA,1681,90.2,2413,"Deuel Vocational Institution"
"982","FOL",332,2020,2499,NA,NA,2066,121,3026,"Folsom State Prison"
"983","HDSP",341,2020,3461,NA,NA,2324,148.9,3461,"High Desert State Prison"
"984","ISP",357,2020,3058,NA,NA,2200,139,3300,"Ironwood State Prison"
"985","KVSP",366,2020,3580,NA,NA,2448,146.2,3622,"Kern Valley State Prison"
"986","LAC",375,2020,3068,NA,NA,2300,133.4,3400,"California State Los Angeles County"
"987","MCSP",384,2020,3917,NA,NA,3284,119.3,4207,"Mule Creek State Prison"
"988","NKSP",400,2020,1799,NA,NA,2694,66.8,4011,"North Kern State Prison"
"989","PBSP",409,2020,2432,NA,NA,2380,102.2,3361,"Pelican Bay State Prison"
"990","PVSP",418,2020,3016,NA,NA,2308,130.7,3535,"Pleasant Valley State Prison"
"991","RJD",427,2020,3645,NA,NA,2992,121.8,4038,"RJ Donovan Correctional Facility"
"992","SAC",443,2020,2316,NA,NA,1828,126.7,2545,"California State Sacramento"
"993","SATF",452,2020,4674,NA,NA,3424,136.5,5111,"California Substance Abuse Treatment Facility"
"994","SCC",461,2020,3678,NA,NA,3836,95.9,4570,"Sierra Conservation Center"
"995","SOL",470,2020,3575,NA,NA,2610,137,4010,"California State Solano"
"996","SQ",487,2020,3158,NA,NA,3082,102.5,4636,"San Quentin State Prison"
"997","SVSP",495,2020,2817,NA,NA,2452,114.9,3509,"Salinas Valley State Prison"
"998","VSP",504,2020,2919,NA,NA,1980,147.4,2954,"Valley State Prison"
"999","WSP",513,2020,2208,NA,NA,2984,74,4447,"Wasco State Prison"
"1000","MALE",530,2020,97934,NA,NA,85858,114.1,120845,"Male Total"
"1001","CCWF",572,2020,2155,NA,NA,2004,107.5,2988,"Central California Facility"
"1002","CIW",581,2020,1296,NA,NA,1398,92.7,1877,"California Institution for Women"
"1003","FOL",590,2020,138,NA,NA,403,34.2,530,"Folsom State Prison"
"1004","FEMALE",604,2020,3589,NA,NA,3805,94.3,5395,"Female Total"
"1005","INSTITUTIONS",636,2020,101523,NA,NA,89663,113.2,126240,"Institution"
