"","name","abrev","PercCap","DesCap","FelOth","StafCap","Total","CivAdd","Yindex","Year"
"719","(High Desert SP)","HDSP","149.1","2,324","3,464","3,361","3,464","0","275","../data/CA_prison_pop_reports/July_2018.pdf"
"720","(Ironwood SP)","ISP","139.3","2,200","3,065","3,200","3,065","0","292","../data/CA_prison_pop_reports/July_2018.pdf"
"721","(Kern Valley SP)","KVSP","145.2","2,448","3,555","3,522","3,555","0","301","../data/CA_prison_pop_reports/July_2018.pdf"
"722","(CA Los Angeles County)","LAC","137.9","2,300","3,172","3,300","3,172","0","309","../data/CA_prison_pop_reports/July_2018.pdf"
"723","(Mule Creek SP)","MCSP","128.1","3,284","4,208","4,009","4,208","0","318","../data/CA_prison_pop_reports/July_2018.pdf"
"724","(North Kern SP)","NKSP","162.5","2,694","4,378","3,911","4,378","0","335","../data/CA_prison_pop_reports/July_2018.pdf"
"725","(Pelican Bay SP)","PBSP","110.3","2,380","2,624","3,250","2,624","0","344","../data/CA_prison_pop_reports/July_2018.pdf"
"726","(Pleasant Valley SP)","PVSP","131.2","2,308","3,028","3,333","3,028","0","352","../data/CA_prison_pop_reports/July_2018.pdf"
"727","(RJ Donovan Correctional Fac)","RJD","130.2","2,992","3,895","3,942","3,895","0","361","../data/CA_prison_pop_reports/July_2018.pdf"
"728","(CA Sacramento)","SAC","117.9","1,828","2,156","2,449","2,156","0","378","../data/CA_prison_pop_reports/July_2018.pdf"
"729","(CA Substance Abuse Treat Fac)","SATF","170.9","3,424","5,853","5,111","5,853","0","386","../data/CA_prison_pop_reports/July_2018.pdf"
"730","(Sierra Conservation Center)","SCC","108.1","3,936","4,253","4,660","4,253","0","395","../data/CA_prison_pop_reports/July_2018.pdf"
"731","(CA Solano)","SOL","154.9","2,610","4,044","3,882","4,044","0","403","../data/CA_prison_pop_reports/July_2018.pdf"
"732","(San Quentin SP)","SQ","143.0","3,082","4,408","3,988","4,408","0","420","../data/CA_prison_pop_reports/July_2018.pdf"
"733","(Salinas Valley SP)","SVSP","129.1","2,452","3,166","3,409","3,166","0","429","../data/CA_prison_pop_reports/July_2018.pdf"
"734","(Valley SP)","VSP","174.7","1,980","3,459","2,954","3,459","0","437","../data/CA_prison_pop_reports/July_2018.pdf"
"735","(Wasco SP)","WSP","167.4","2,984","4,994","4,351","4,994","0","446","../data/CA_prison_pop_reports/July_2018.pdf"
"736","Male Total","MALE","132.8","85,958","114,117","116,853","114,117","0","471","../data/CA_prison_pop_reports/July_2018.pdf"
"737","(Central CA Fac)","CCWF","144.0","2,004","2,886","2,966","2,886","0","514","../data/CA_prison_pop_reports/July_2018.pdf"
"738","(CA Institution for Women)","CIW","131.6","1,398","1,840","1,856","1,840","0","522","../data/CA_prison_pop_reports/July_2018.pdf"
"739","(Folsom SP)","FOL","111.2","403","448","530","448","0","531","../data/CA_prison_pop_reports/July_2018.pdf"
"740","Female Total","FEMALE","136.0","3,805","5,174","5,352","5,174","0","548","../data/CA_prison_pop_reports/July_2018.pdf"
"741","Total",NA,"132.9","89,763","119,291","122,205","119,291","0","591","../data/CA_prison_pop_reports/July_2018.pdf"
"742","Avenal State Prison","(ASP)","128.5","2,920","3,751","4,370",NA,NA,"184","../data/CA_prison_pop_reports/July_2019.pdf"
"743","Calipatria State Prison","(CAL)","150.5","2,308","3,474","3,333",NA,NA,"193","../data/CA_prison_pop_reports/July_2019.pdf"
"744","California Correctional Center","(CCC)","102.1","3,883","3,964","4,762",NA,NA,"202","../data/CA_prison_pop_reports/July_2019.pdf"
"745","California Correctional Institution","(CCI)","132.2","2,783","3,678","4,120",NA,NA,"211","../data/CA_prison_pop_reports/July_2019.pdf"
"746","Centinela State Prison","(CEN)","151.4","2,308","3,495","3,333",NA,NA,"227","../data/CA_prison_pop_reports/July_2019.pdf"
"747","California Health Care Facility Stockton","(CHCF)","94.3","2,951","2,784","2,951",NA,NA,"236","../data/CA_prison_pop_reports/July_2019.pdf"
"748","California Institution for Men","(CIM)","122.4","2,976","3,644","4,186",NA,NA,"245","../data/CA_prison_pop_reports/July_2019.pdf"
"749","California Colony","(CMC)","95.9","3,838","3,682","4,398",NA,NA,"254","../data/CA_prison_pop_reports/July_2019.pdf"
"750","California Medical Facility","(CMF)","108.3","2,361","2,556","2,847",NA,NA,"271","../data/CA_prison_pop_reports/July_2019.pdf"
"751","California State Corcoran","(COR)","101.4","3,116","3,161","4,233",NA,NA,"279","../data/CA_prison_pop_reports/July_2019.pdf"
"752","California Rehabilitation Center","(CRC)","118.7","2,491","2,958","3,210",NA,NA,"288","../data/CA_prison_pop_reports/July_2019.pdf"
"753","Correctional Training Facility","(CTF)","163.5","3,312","5,414","4,887",NA,NA,"297","../data/CA_prison_pop_reports/July_2019.pdf"
"754","Chuckawalla Valley State Prison","(CVSP)","155.9","1,738","2,709","2,478",NA,NA,"314","../data/CA_prison_pop_reports/July_2019.pdf"
"755","Deuel Vocational Institution","(DVI)","129.0","1,681","2,169","2,353",NA,NA,"322","../data/CA_prison_pop_reports/July_2019.pdf"
"756","Folsom State Prison","(FOL)","144.9","2,066","2,994","2,895",NA,NA,"332","../data/CA_prison_pop_reports/July_2019.pdf"
"757","High Desert State Prison","(HDSP)","134.7","2,324","3,130","3,361",NA,NA,"341","../data/CA_prison_pop_reports/July_2019.pdf"
"758","Ironwood State Prison","(ISP)","121.9","2,200","2,681","3,200",NA,NA,"357","../data/CA_prison_pop_reports/July_2019.pdf"
"759","Kern Valley State Prison","(KVSP)","145.8","2,448","3,568","3,522",NA,NA,"366","../data/CA_prison_pop_reports/July_2019.pdf"
"760","California State Los Angeles County","(LAC)","138.0","2,300","3,175","3,300",NA,NA,"375","../data/CA_prison_pop_reports/July_2019.pdf"
"761","Mule Creek State Prison","(MCSP)","120.9","3,284","3,970","4,009",NA,NA,"384","../data/CA_prison_pop_reports/July_2019.pdf"
"762","North Kern State Prison","(NKSP)","155.7","2,694","4,195","3,911",NA,NA,"400","../data/CA_prison_pop_reports/July_2019.pdf"
"763","Pelican Bay State Prison","(PBSP)","110.3","2,380","2,625","3,250",NA,NA,"409","../data/CA_prison_pop_reports/July_2019.pdf"
"764","Pleasant Valley State Prison","(PVSP)","144.4","2,308","3,332","3,333",NA,NA,"418","../data/CA_prison_pop_reports/July_2019.pdf"
"765","RJ Donovan Correctional Facility","(RJD)","137.0","2,992","4,099","3,942",NA,NA,"427","../data/CA_prison_pop_reports/July_2019.pdf"
"766","California State Sacramento","(SAC)","116.3","1,828","2,126","2,449",NA,NA,"443","../data/CA_prison_pop_reports/July_2019.pdf"
"767","California Substance Abuse Treatment Facility","(SATF)","161.1","3,424","5,516","5,111",NA,NA,"452","../data/CA_prison_pop_reports/July_2019.pdf"
"768","Sierra Conservation Center","(SCC)","103.3","3,936","4,066","4,570",NA,NA,"461","../data/CA_prison_pop_reports/July_2019.pdf"
"769","California State Solano","(SOL)","175.3","2,610","4,575","3,882",NA,NA,"470","../data/CA_prison_pop_reports/July_2019.pdf"
"770","San Quentin State Prison","(SQ)","140.5","3,082","4,329","3,984",NA,NA,"487","../data/CA_prison_pop_reports/July_2019.pdf"
"771","Salinas Valley State Prison","(SVSP)","128.2","2,452","3,143","3,409",NA,NA,"495","../data/CA_prison_pop_reports/July_2019.pdf"
"772","Valley State Prison","(VSP)","143.7","1,980","2,845","2,954",NA,NA,"504","../data/CA_prison_pop_reports/July_2019.pdf"
"773","Wasco State Prison","(WSP)","164.4","2,984","4,906","4,351",NA,NA,"513","../data/CA_prison_pop_reports/July_2019.pdf"
"774","Male","Total","131.1","85,958","112,714","116,894",NA,NA,"530","../data/CA_prison_pop_reports/July_2019.pdf"
"775","Central California Facility","(CCWF)","141.0","2,004","2,826","2,964",NA,NA,"572","../data/CA_prison_pop_reports/July_2019.pdf"
"776","California Institution for Women","(CIW)","125.3","1,398","1,752","1,877",NA,NA,"581","../data/CA_prison_pop_reports/July_2019.pdf"
"777","Folsom State Prison","(FOL)","112.7","403","454","530",NA,NA,"590","../data/CA_prison_pop_reports/July_2019.pdf"
"778","San Quentin State Prison","(SQ)","0.0","3,082","1","3,273",NA,NA,"599","../data/CA_prison_pop_reports/July_2019.pdf"
"779","Female","Total","132.3","3,805","5,033","8,644",NA,NA,"615","../data/CA_prison_pop_reports/July_2019.pdf"
"780","Institution","Total","131.2","89,763","117,747","125,538",NA,NA,"647","../data/CA_prison_pop_reports/July_2019.pdf"
"781","Avenal State Prison","(ASP)","131.0","2,920","3,824","4,719",NA,NA,"184","../data/CA_prison_pop_reports/July_2020.pdf"
"782","Calipatria State Prison","(CAL)","128.0","2,308","2,955","3,451",NA,NA,"193","../data/CA_prison_pop_reports/July_2020.pdf"
"783","California Correctional Center","(CCC)","84.3","3,883","3,275","4,752",NA,NA,"202","../data/CA_prison_pop_reports/July_2020.pdf"
"784","California Correctional Institution","(CCI)","123.8","2,783","3,445","4,115",NA,NA,"211","../data/CA_prison_pop_reports/July_2020.pdf"
"785","Centinela State Prison","(CEN)","140.3","2,308","3,237","3,446",NA,NA,"227","../data/CA_prison_pop_reports/July_2020.pdf"
"786","California Health Care Facility Stockton","(CHCF)","87.3","2,951","2,575","3,111",NA,NA,"236","../data/CA_prison_pop_reports/July_2020.pdf"
"787","California Institution for Men","(CIM)","85.9","2,976","2,557","4,450",NA,NA,"245","../data/CA_prison_pop_reports/July_2020.pdf"
"788","California Colony","(CMC)","90.8","3,838","3,486","4,407",NA,NA,"254","../data/CA_prison_pop_reports/July_2020.pdf"
"789","California Medical Facility","(CMF)","93.5","2,361","2,207","2,981",NA,NA,"271","../data/CA_prison_pop_reports/July_2020.pdf"
"790","California State Corcoran","(COR)","110.8","3,116","3,453","4,476",NA,NA,"279","../data/CA_prison_pop_reports/July_2020.pdf"
"791","California Rehabilitation Center","(CRC)","113.9","2,491","2,837","3,262",NA,NA,"288","../data/CA_prison_pop_reports/July_2020.pdf"
"792","Correctional Training Facility","(CTF)","139.8","3,312","4,630","4,941",NA,NA,"297","../data/CA_prison_pop_reports/July_2020.pdf"
"793","Chuckawalla Valley State Prison","(CVSP)","121.7","1,738","2,116","2,578",NA,NA,"314","../data/CA_prison_pop_reports/July_2020.pdf"
"794","Deuel Vocational Institution","(DVI)","90.2","1,681","1,517","2,413",NA,NA,"322","../data/CA_prison_pop_reports/July_2020.pdf"
"795","Folsom State Prison","(FOL)","121.0","2,066","2,499","3,026",NA,NA,"332","../data/CA_prison_pop_reports/July_2020.pdf"
"796","High Desert State Prison","(HDSP)","148.9","2,324","3,461","3,461",NA,NA,"341","../data/CA_prison_pop_reports/July_2020.pdf"
"797","Ironwood State Prison","(ISP)","139.0","2,200","3,058","3,300",NA,NA,"357","../data/CA_prison_pop_reports/July_2020.pdf"
"798","Kern Valley State Prison","(KVSP)","146.2","2,448","3,580","3,622",NA,NA,"366","../data/CA_prison_pop_reports/July_2020.pdf"
"799","California State Los Angeles County","(LAC)","133.4","2,300","3,068","3,400",NA,NA,"375","../data/CA_prison_pop_reports/July_2020.pdf"
"800","Mule Creek State Prison","(MCSP)","119.3","3,284","3,917","4,207",NA,NA,"384","../data/CA_prison_pop_reports/July_2020.pdf"
"801","North Kern State Prison","(NKSP)","66.8","2,694","1,799","4,011",NA,NA,"400","../data/CA_prison_pop_reports/July_2020.pdf"
"802","Pelican Bay State Prison","(PBSP)","102.2","2,380","2,432","3,361",NA,NA,"409","../data/CA_prison_pop_reports/July_2020.pdf"
"803","Pleasant Valley State Prison","(PVSP)","130.7","2,308","3,016","3,535",NA,NA,"418","../data/CA_prison_pop_reports/July_2020.pdf"
"804","RJ Donovan Correctional Facility","(RJD)","121.8","2,992","3,645","4,038",NA,NA,"427","../data/CA_prison_pop_reports/July_2020.pdf"
"805","California State Sacramento","(SAC)","126.7","1,828","2,316","2,545",NA,NA,"443","../data/CA_prison_pop_reports/July_2020.pdf"
"806","California Substance Abuse Treatment Facility","(SATF)","136.5","3,424","4,674","5,111",NA,NA,"452","../data/CA_prison_pop_reports/July_2020.pdf"
"807","Sierra Conservation Center","(SCC)","95.9","3,836","3,678","4,570",NA,NA,"461","../data/CA_prison_pop_reports/July_2020.pdf"
"808","California State Solano","(SOL)","137.0","2,610","3,575","4,010",NA,NA,"470","../data/CA_prison_pop_reports/July_2020.pdf"
"809","San Quentin State Prison","(SQ)","102.5","3,082","3,158","4,636",NA,NA,"487","../data/CA_prison_pop_reports/July_2020.pdf"
"810","Salinas Valley State Prison","(SVSP)","114.9","2,452","2,817","3,509",NA,NA,"495","../data/CA_prison_pop_reports/July_2020.pdf"
"811","Valley State Prison","(VSP)","147.4","1,980","2,919","2,954",NA,NA,"504","../data/CA_prison_pop_reports/July_2020.pdf"
"812","Wasco State Prison","(WSP)","74.0","2,984","2,208","4,447",NA,NA,"513","../data/CA_prison_pop_reports/July_2020.pdf"
"813","Male","Total","114.1","85,858","97,934","120,845",NA,NA,"530","../data/CA_prison_pop_reports/July_2020.pdf"
"814","Central California Facility","(CCWF)","107.5","2,004","2,155","2,988",NA,NA,"572","../data/CA_prison_pop_reports/July_2020.pdf"
"815","California Institution for Women","(CIW)","92.7","1,398","1,296","1,877",NA,NA,"581","../data/CA_prison_pop_reports/July_2020.pdf"
"816","Folsom State Prison","(FOL)","34.2","403","138","530",NA,NA,"590","../data/CA_prison_pop_reports/July_2020.pdf"
"817","Female","Total","94.3","3,805","3,589","5,395",NA,NA,"604","../data/CA_prison_pop_reports/July_2020.pdf"
"818","Institution","Total","113.2","89,663","101,523","126,240",NA,NA,"636","../data/CA_prison_pop_reports/July_2020.pdf"
