"","name","abrev","PercCap","DesCap","FelOth","StafCap","Total","CivAdd","Yindex","Year"
"501","(KERN VALLEY SP)","KVSP","192.3","2,448","4,708","4,729","4,708","0","344","../data/CA_prison_pop_reports/July_2011.pdf"
"502","(MULE CREEK SP)","MCSP","210.1","1,700","3,572","3,516","3,572","0","352","../data/CA_prison_pop_reports/July_2011.pdf"
"503","(NORTH KERN SP)","NKSP","190.6","2,694","5,128","5,110","5,134","6","361","../data/CA_prison_pop_reports/July_2011.pdf"
"504","(PELICAN BAY SP)","PBSP","135.0","2,380","3,212","3,208","3,212","0","378","../data/CA_prison_pop_reports/July_2011.pdf"
"505","(PLEASANT VALLEY SP)","PVSP","198.1","2,308","4,572","4,647","4,572","0","386","../data/CA_prison_pop_reports/July_2011.pdf"
"506","(RJ DONOVAN CORR FACIL)","RJD","197.6","2,200","4,347","4,436","4,347","0","395","../data/CA_prison_pop_reports/July_2011.pdf"
"507","(SALINAS VAL SP)","SVSP","160.9","2,452","3,945","3,859","3,945","0","403","../data/CA_prison_pop_reports/July_2011.pdf"
"508","(SIERRA CONSERV CTR)","SCC","138.7","3,736","5,182","5,548","5,182","0","420","../data/CA_prison_pop_reports/July_2011.pdf"
"509","(WASCO SP)","WSP","190.7","2,984","5,683","5,584","5,689","6","429","../data/CA_prison_pop_reports/July_2011.pdf"
"510","Male Total","MALE","175.8","78,790","138,117","139,693","138,515","398","446","../data/CA_prison_pop_reports/July_2011.pdf"
"511","(CAL INST FOR WOMEN)","CIW","146.8","1,386","1,920","2,147","2,035","115","488","../data/CA_prison_pop_reports/July_2011.pdf"
"512","(CENT CAL FACIL)","CCWF","190.9","2,004","3,823","3,859","3,826","3","497","../data/CA_prison_pop_reports/July_2011.pdf"
